state,abbr,fips,lat,lon,zoom
USA,US,,38.0,-95.7,2.7
Alaska,AK,02,63.588753,-154.493062,2.5
Alabama,AL,01,32.7794,-86.902298,5.5
Arkansas,AR,05,34.8938,-91.83183,5.9
Arizona,AZ,04,34.048928,-112.0,5.2
California,CA,06,37.2,-119.417932,4.4
Colorado,CO,08,38.9972,-105.782067,5.5
Connecticut,CT,09,41.603221,-72.5,7.0
District of Columbia,DC,11,38.905985,-77.033418,7.0
Delaware,DE,10,38.9896,-75.52767,7.0
Florida,FL,12,27.664827,-83.0,5.1
Georgia,GA,13,32.6415,-82.907123,5.5
Hawaii,HI,15,20.2927,-158.0,5.7
Iowa,IA,19,41.878003,-93.097702,5.7
Idaho,ID,16,45.687977,-114.181162,4.7
Illinois,IL,17,40.0417,-89.398528,5.1
Indiana,IN,18,39.8942,-86.0,5.7
Kansas,KS,20,38.58167,-98.360662,5.5
Kentucky,KY,21,37.6446,-85.756092,5.6
Louisiana,LA,22,31.24482,-92.145023,5.8
Massachusetts,MA,25,42.1720781,-71.6950033,6.5
Maryland,MD,24,39.045755,-77.3,6.3
Maine,ME,23,45.253783,-69.44546,5.5
Michigan,MI,26,44.314844,-85.602364,5.1
Minnesota,MN,27,46.729553,-94.6859,4.8
Missouri,MO,29,38.3,-91.831832,5.4
Mississippi,MS,28,32.554668,-89.398528,5.4
Montana,MT,30,46.879682,-110.362565,4.8
North Carolina,NC,37,35.75957,-79.4193,5.3
North Dakota,ND,38,47.551493,-100.5,5.5
Nebraska,NE,31,41.492537,-99.901813,5.4
New Hampshire,NH,33,44.0571214,-71.396345,6.1
New Jersey,NJ,34,40.058324,-74.405661,6.4
New Mexico,NM,35,34.2140287,-106.02847,5.3
Nevada,NV,32,38.80260,-116.419389,4.9
New York,NY,36,42.978451,-75.3544834,5.4
Ohio,OH,39,40.217287,-82.907123,5.8
Oklahoma,OK,40,35.4093058,-98.8,5.3
Oregon,OR,41,43.904133,-120.554201,5.4
Pennsylvania,PA,42,40.9588717,-77.6064888,5.8
Puerto Rico,PR,72,18.220833,-66.590149,7.5
Rhode Island,RI,44,41.580095,-71.477429,7.7
South Carolina,SC,45,33.736081,-81.163725,6.1
South Dakota,SD,46,44.2,-100.0,5.4
Tennessee,TN,47,35.517491,-86.0,5.4
Texas,TX,48,31.468598,-99.901813,4.4
Utah,UT,49,39.620979,-111.093731,5.2
Virginia,VA,51,37.631572,-79.6,5.4
Vermont,VT,50,44.0,-72.577841,6.3
Washington,WA,53,47.251073,-120.740138,5.6
Wisconsin,WI,55,44.6243,-89.9941,5.4
West Virginia,WV,54,38.897626,-80.454903,6.0
Wyoming,WY,56,43.075967,-107.290284,5.5
